sample_index,timestamp_utc,elapsed_s,phase,a0_voltage_v,pressure_emulator_bar,a1_voltage_v,flow_emulator_l_min,gpio24_raw_level,estop_active,permit_requested,trip_latched,gpio23_command_high,event
181,2026-09-11T16:05:18.780766+00:00,18.100304,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
182,2026-09-11T16:05:18.881069+00:00,18.200331,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
183,2026-09-11T16:05:18.980739+00:00,18.300290,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
184,2026-09-11T16:05:19.081058+00:00,18.400323,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
185,2026-09-11T16:05:19.180727+00:00,18.500285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
186,2026-09-11T16:05:19.281035+00:00,18.600304,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
187,2026-09-11T16:05:19.380751+00:00,18.700299,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
188,2026-09-11T16:05:19.481044+00:00,18.800310,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
189,2026-09-11T16:05:19.580734+00:00,18.900289,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
190,2026-09-11T16:05:19.681224+00:00,19.000416,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
191,2026-09-11T16:05:19.780763+00:00,19.100307,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
192,2026-09-11T16:05:19.881029+00:00,19.200313,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
193,2026-09-11T16:05:19.980721+00:00,19.300286,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
194,2026-09-11T16:05:20.081050+00:00,19.400318,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
195,2026-09-11T16:05:20.180726+00:00,19.500287,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
196,2026-09-11T16:05:20.281046+00:00,19.600309,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
197,2026-09-11T16:05:20.380728+00:00,19.700285,boot_safe,0.000000,0.00000,0.000000,0.00000,HIGH,true,false,true,false,
